Valores de laboratorio representativos de referencia: sangre. plasma y suero,,,
Estudio,Muestra,Unidades convencionales,Unidades del SI
Acetoacetato,Plasma,< 3 mg/L,< 0.3 mmol/L
Acetilcolinesterasa (AChE). eritrocitos,Sangre,26.7 a 49.2 U/g Hb,1.72–3.17 x 106 U/mol Hb
Fosfatasa ácida (adultos),Suero,0.5–5 U/L,8–83 nkat/L
Tiempo parcial de tromboplastina activada (aPTT),Plasma,30-40 segundos,—
Hormona adrenocorticotrópica (ACTH),Suero,9–52 pg/mL (muestra matutina),2–11 pmol/L (muestra matutina)
Albúmina,Suero,3.5 a 5.4 g/dL,35-54 g/L
Aldosterona:,,,
De pie,Suero,7-20 ng/dL,194-554 pmol/L
Supino,Suero,2-5 ng/dL,55-138 pmol/L
Fosfatasa alcalina (ALP),Suero,36–150 U/L,0.5–2.5 mckat/L
Alfa-1 antitripsina (AAT),Suero,100–273 mg/dL,18–50 mcmol/L
Alfa fetoproteína (AFP),Suero,< 20 ng/mL,< 20 mcg/L
Ácido aminolevulínico. Delta (ALA),Suero,15-23 mcg/L,1.14-1.75 mcmol/L
Aminotransferasa. alanina (ALT),Suero,< 35 U/L,< 0.58 mckat/L
Aminotransferasa. aspartato (AST),Suero,< 35 U/L,< 0.58 mckat/L
Amoníaco,Plasma,40-80 mcg/dL,23-47 mcmol/L
Amilasa,Suero,< 110 U/L,< 1.8 mckat/L
Anticuerpos contra el antígeno nuclear extraíble (AENA),Suero,< 20.0 unidades/mL,—
Anticuerpos anti-péptido citrulinado cíclico (anti-CCP),Suero,≤ 20 unidades/mL,—
Hormona antidiurética (ADH; arginina vasopresina),Plasma,< 1.7 pg/mL,< 1.57 pmol/L
Anticuerpos anti-DNA de doble cadena. IgG,Suero,< 25 UI,—
Anticuerpos antimitocondriales M2,Suero,< 0.1 unidades,—
Anticuerpos anticitoplasma de neutrófilos (ANCA),Suero,Negativo,—
Anticuerpos antinucleares (ANA),Suero,≤ 1.0 unidad,—
Título de anticuerpos antimúsculo liso (ASMA),Suero,≤ 1:80,—
Título de antiestreptolisina O,Suero,< 150 unidades,—
Título de anticuerpos microsómicos antitiroideos,Suero,< 1:100,—
" Antitripsina, Alfa-1 (AAT)",Suero,83 a 199 mg/dL,15.3-36.6 mcmol/L
"Antitripsina, Alfa-1 (AAT)",Suero,83 a 199 mg/dL,"15,3-36,6 mcmol/L"
A-I. mujeres,Suero,98-210 mg/dL,0.98-2.1 g/L
A-I. varones,Suero,88-180 mg/dL,0.88 a 1.8 g/L
B-100. mujeres,Suero,44-148 mg/dL,0.44 a 1.48 g/L
B-100. varones,Suero,55–151 mg/dL,0.55 a 1.51 g/L
Bicarbonato,Suero,23-28 mEq/L,23-28 mmol/L
Bilirrubina:,,,
Directa,Suero,0-0.3 mg/dL,0–5.1 mcmol/L
Total,Suero,0.3–1.2 mg/dL,5.1-20.5 mcmol/L
Volúmenes sanguíneos (marcado con radioisótopo):,,,
Plasma. mujeres*,Sangre,28-43 mL/kg de peso corporal,0.028-0.043 L/kg de peso corporal
Plasma. varones*,Sangre,25-44 mL/kg de peso corporal,0.025-0.044 L/kg de peso corporal
Eritrocitos. mujeres*,Sangre,20-30 mL/kg de peso corporal,0.02-0.03 L/kg de peso corporal
Eritrocitos. varones*,Sangre,25-35 mL/kg de peso corporal,0.025-0.035 L/kg de peso corporal
Péptido natriurético cerebral (de tipo B),Plasma,< 100 pg/mL,< 100 ng/L
Calcitonina. edad ≥ 16 años:,,,
Mujeres,Suero,< 8 pg/mL,< 8ng/L
Varones,Suero,< 16 pg/mL,< 16 ng/L
Calcio,Suero,9-10.5 mg/dL,2.2 a 2.6 mmol/L
Antígeno del Cáncer (CA):,,,
CA 125,Suero,< 35 U/mL,< 35 kU/L
CA 15-3,Suero,< 30 U/mL,< 30 kU/L
Contenido de dióxido de carbono (CO2),Suero,23-28 mEq/L,23-28 mmol/L
Presión parcial de dióxido de carbono (PCO2),Sangre,"Arterial: 35–45 mm Hg

Venosas: 38–50 mm Hg","Arterial: 4.7–6.0 kPa

Venosas: 5.1–6.7 kPa"
Carboxihemoglobina,Plasma,0.5–5%,—
Antígeno carcinoembrionario (CEA),Suero,"< 3 ng/mL

Pacientes que fuman: < 5 ng/mL","< 3 mcg/L

Pacientes que fuman: < 5 mcg/L"
Caroteno,Suero,75–300 mcg/dL,1.4-5.6 mcmol/L
Relación CD4:CD8,Sangre,1.0–4.0,—
Recuento de linfocitos T CD4+,Sangre,640-1175/mcL,0.64 a 1.18 x 109/L
Recuento de linfocitos T CD8+,Sangre,335-875/mcL,0.34-0.88 x 109/L
Ceruloplasmina,Suero,14–40 mg/dL,0.93–2.65 mcmol/L
Cloruro,Suero,98-106 mEq/L,98-106 mmol/L
Colesterol. nivel deseable:,,,
Lipoproteína de alta densidad (HDL-C),Plasma,≥ 40 mg/dL,≥ 1.04 mmol/L
Lipoproteína de baja densidad (LDL-C),Plasma,≤ 130 mg/dL,≤ 3.36 mmol/L
Total (TC),Plasma,150-199 mg/dL,3.88 a 5.15 mmol/L
Factores de coagulación:,,,
Factor I,Plasma,150–300 mg/dL,1.5-3.5 g/L
Factor II,Plasma,60-150% de lo normal,—
Factor IX,Plasma,60-150% de lo normal,—
Factor V,Plasma,60-150% de lo normal,—
Factor VII,Plasma,60-150% de lo normal,—
Factor VIII,Plasma,60-150% de lo normal,—
Factor X,Plasma,60-150% de lo normal,—
Factor XI,Plasma,60-150% de lo normal,—
Factor XII,Plasma,60-150% de lo normal,—
Complemento:,,,
C3,Suero,90–180 mg/dL,0.9–1.8 g/L
C4,Suero,10–40 mg/dL,0.10–0.40 g/L
Total (CH50),Suero,30–75 U/mL,30–75 kU/L
Cobre,Suero,70–155 mcg/dL,11-24.3 mcmol/L
Cortisol:,,,
1 h después de cosintropina,Suero,> 18 mcg/dL y por lo general ≥ 8 mcg/dL por encima de la línea de base,> 498 nmol/L y por lo general ≥ 221 nmol/L por encima de la línea de base
A Las 5 pm,Suero,3-13 mcg/dL,83-359 nmol/L
A Las 8 am,Suero,8-20 mcg/dL,251-552 nmol/L
Luego de prueba de supresión nocturna,Suero,< 5 mcg/dL,< 138 nmol/L
péptido C,Suero,0.9-4.3 ng/mL,297-1419 pmol/L
Proteína C reactiva (CRP),Suero,< 0.8 mg/dL,< 8.0 mg/L
Proteína C reactiva. altamente sensible (hsCRP),Suero,< 0.2 mg/dL,< 2.0 mg/L
Creatina cinasa (CK),Suero,30-170 U/L,0.5 a 2.83 mckat/L
Creatinina,Suero,"Hombres: 0.7–1.2 mg/dL

Mujeres: 0.5–1.0 mg/dL","Hombres: 60–110 mcmol/L

Mujeres: 45–90 mcmol/L"
Dímero-D,Plasma,≤ 500 ng/mL UEF (unidades equivalentes de fibrinógeno),< 3 nmol/L FEU
Dehidroepiandrosterona sulfato (DHEA-S):,,,
Mujeres,Plasma,0.6 a 3.3 mg/mL,1.6-8.9 mcmol/L
Varones,Plasma,1.3 a 5.5 mg/mL,3.5-14.9 mcmol/L
Ácido δ-aminolevulínico (ALA),Suero,15-23 mcg/L,1.14-1.75 mcmol/L
11-desoxicortisol (DOC):,,,
Luego de metirapona,Plasma,> 7 mcg/dL,> 203 nmol/L
Basal,Plasma,< 5 mcg/dL,< 145 nmol/L
Nivel de D-Xylose 2 h después de la ingestión de 25 g de D-xylose,Suero,> 20 mg/dL,> 1.3 nmol/L
Epinefrina. en decúbito supino,Plasma,< 75 ng/L,< 410 pmol/L
Velocidad de eritrosedimentación:,,,
Mujeres,Sangre,0-20 mm/h,0-20 mm/h
Varones,Sangre,0-15 mm/h,0-20 mm/h
Eritropoyetina,Suero,2.6–18.5 mIU/mL,2.6 a 18.5 UI/L
Estradiol. mujeres:,,,
Día 1-10 del ciclo menstrual,Suero,14-27 pg/mL,50-100 pmol/L
Día 11-20 del ciclo menstrual,Suero,14-54 pg/mL,50-200 pmol/L
Día 21 a 30 del ciclo menstrual,Suero,19-40 pg/mL,70-150 pmol/L
Estradiol. varones,Suero,10-30 pg/mL,37-110 pmol/L
Ferritina:,,,
Mujeres,Suero,30–200 ng/mL,30–200 mcg/L
Varones,Suero,30–300 ng/mL,30–300 mcg/L
Fetoproteína. Alfa (AFP),Suero,< 8.4 ng/mL,< 8.4 mcg/L
Fibrinógeno,Plasma,150-350 mg/dL,1.5-3.5 g/L
Folato (ácido fólico):,,,
Eritrocitos,Sangre,160-855 ng/mL,362-1937 nmol/L
Suero,Suero,2.5–20 ng/mL,5.7 a 45.3 nmol/L
Hormona folículoestimulante (FSH). mujeres:,,,
Fase folicular o lútea,Suero,5-20 mU/mL,5-20 U/L
Pico de la mitad del ciclo,Suero,30-50 mU/mL,30-50 U/L
Posmenopáusicas,Suero,> 35 mU/mL,> 35 U/L
Hormona folículoestimulante (FSH). varones adultos,Suero,5-15 mU/mL,5-15 U/L
Fructosamina (proteína glucosilada),Plasma,200–285 mcmol/L,200-285 mcmol/L
Gamma‑glutamil transpeptidasa (GGT),Suero,"Varón adulto: 8–61 U/L

Mujer adulta: 5–36 U/L","Varón adulto: 0.14–1.03 mckat/L

Mujer adulta: 0.09–0.61 mckat/L"
Gastrina,Suero,0-180 pg/mL,0-180 ng/L
Globulinas:,Suero,2.5 a 3.5 g/dL,25-35 g/L
Alfa-1 globulinas,Suero,0.2-0.4 g dL,2-4 g/L
Alfa-2 globulinas,Suero,0.5-0.9 g/dL,5-9 g/L
Beta globulinas,Suero,0.6-1.1 g/dL,6–11 g/L
Beta-2 microglobulina,Suero,0.7-1.8 mcg/mL,0.7–1.8 mg/L
Gammaglobulinas,Suero,0.7-1.7 g/dL,7-17 g/L
Glucosa:,,,
2-h postprandial,Plasma,< 140 mg/dL,< 7.8 mmol/L
Ayuno,Plasma,70-105 mg/dL,3.9-5.8 mmol/L
Glucosa-6-fosfato dehidrogenasa (G6PD),Sangre,5-15 U/g Hb,0.32-0.97 mU/mol Hb
Glutamil transpeptidasa. Gamma (GGT),Suero,"Varón adulto: 8–61 U/L

Mujer adulta: 5–36 U/L","Varón adulto: 0.14–1.03 mckat/L

Mujer adulta: 0.09–0.61 mckat/L"
Hormona de crecimiento:,,,
Después de la glucosa oral,Plasma,< 2 ng/mL,< 2 mcg/L
En respuesta a estímulo provocador,Plasma,> 7 ng/mL,> 7 mcg/L
Haptoglobina,Suero,30-200 mg/dL,0.3–2 g/L
Hematocrito:,,,
Mujeres,Sangre,36–47%,—
Varones,Sangre,41–51%,—
Hemoglobina:,,,
Mujeres,Sangre,12-16 g/dL,120-160 g/L
Varones,Sangre,14-17 g/dL,140-170 g/L
Hemoglobina A1C,Sangre,4.7–8.5%,—
Electroforesis de hemoglobina. adultos:,,,
Hb A1,Sangre,95–98%,—
Hb A2,Sangre,2–3%,—
Hb C,Sangre,0%,—
Hb F,Sangre,0.8–2.0%,—
Hb S,Sangre,0%,—
Electroforesis de hemoglobina. hemoglobina F en niños:,,,
Neonato,Sangre,50–80%,—
1–6 meses,Sangre,8%,—
> 6 meses,Sangre,1–2%,—
Homocisteína:,,,
Mujeres,Plasma,0.40 a 1.89 mg/L,3-14 mcmol/L
Varones,Plasma,0.54 a 2.16 mg/L,4–16 mcmol/L
Gonadotropina coriónica humana (hCG). cuantitativa,Suero,< 5 mUI/mL,< 5 IU/L
Inmunoglobulinas:,,,
IgA,Suero,70-300 mg/dL,0.7 a 3.0 g/L
IgD,Suero,< 8 mg/dL,< 80 mg/L
IgE,Suero,0.01-0.04 mg/dL,0.1-0.4 mg/L
IgG,Suero,640–1430 mg/dL,6.4 a 14.3 g/L
IgG1,Suero,280-1020 mg/dL,2.8-10.2 g/L
IgG2,Suero,60–790 mg/dL,0.6-7.9 g/L
IgG3,Suero,14-240 mg/dL,0.14-2.4 g/L
IgG4,Suero,11-330 mg/dL,0.11-3.3 g/L
IgM,Suero,20–140 mg/dL,0.2-1.4 g/L
Insulina. en ayunas,Suero,2.6–24.9 mcIU/mL,15.6–149.4 pmol/L
IIN (índice internacional normalizado):,,,
Rango terapéutico (terapia de intensidad estándar),Plasma,2.0–3.0,—
Rango terapéutico en pacientes de alto riesgo (p. ej.. aquellos con prótesis valvulares cardíacas),Plasma,2.5–3.5,—
Rango terapéutico en pacientes con lupus anticoagulante,Plasma,3.0–3.5,—
Hierro,Suero,"Hombres: 50–150 mcg/dL

Mujeres: 35-145 mcg/dL","Varones: 9.2–27.5 mcmol/L

Mujeres: 6.4–26.5 mcmol/L"
Capacidad total de fijación del hierro (TIBC),Suero,250-460 mcg/dL,45–82 mcmol/L
Lactato deshidrogenasa (LDH),Suero,60-160 U/L,1–1.67 mckat/L
Ácido láctico. venoso,Sangre,6-16 mg/dL,0.67 a 1.8 mmol/L
Prueba de tolerancia a la lactosa,Plasma,> 15 mg/dL de aumento en el nivel de glucosa en plasma,> 0.83 mmol/L de aumento en el nivel de glucosa en plasma
Plomo,Sangre,"Pacientes pediátricos: < 20 mcg/dL

Pacientes adultos: < 80 mcg/dL","Pacientes pediátricos: < 0.97 mcmol/L

Pacientes adultos: < 3.86 mcmol/L"
Fosfatasa alcalina leucocítica (LAP),Frotis de sangre periférica,13-130/100/polimorfonucleares (PMN) leucocitos neutrófilos y bandas,—
Lipasa,Suero,< 95 U/L,< 1.58 mckat/L
Lipoproteína (a) [Lp (a)],Suero,≤ 10 mg/dL,< 13nmol/L
Hormona luteinizante (LH). mujeres:,,,
Fase folicular o lútea,Suero,5-22 mU/mL,5-22 U/L
Pico de la mitad del ciclo,Suero,30-250 mU/mL,30-250 U/L
Posmenopáusicas,Suero,> 30 mU/mL,> 30 U/L
Hormona luteinizante. varones,Suero,3-15 mU/mL,3-15 U/L
Magnesio,Suero,1.5 a 2.4 mg/dL,0.62-0.99 mmol/L
Manganeso,Suero,0.3-0.9 ng/mL,5.5-16.4 nmol/L
Hemoglobina corpuscular media (MCH),Sangre,28-32 pg,—
Concentración de hemoglobina corpuscular media,Sangre,32-36 g/dL,320-360 g/L
Volumen corpuscular medio (MCV),Sangre,80-100 fL,—
Metanefrinas. fraccionado:,,,
Metanefrinas. libre,Plasma,< 0.50 nmol/L,—
Normetanefrinas. libre,Plasma,< 0.90 nmol/L,—
Metahemoglobina,Sangre,< 1.0%,—
Ácido metilmalónico,Suero,≤ 400 nmol/L,47.2 ng/L
Mioglobina:,,,
Mujeres,Suero,25-58 mcg/L,1.4 a 3.5 nmol/L
Varones,Suero,28–72 mcg/L,1.6 a 4.1 nmol/L
Noradrenalina. decúbito supino,Plasma,50-440 pg/mL,0.3-2.6 nmol/L
Propéptido N-terminal BNP (NT-proBNP),Plasma,"< 75 años: < 125 pg/mL

≥ 75 años: < 450 pg/mL","< 125 ng/L

< 450 ng/L"
5′-Nucleotidasa (5'NT),Suero,4-11.5 U/L,—
Osmolalidad,Plasma,275-295 mOsm/kg H2O,275-295 mmol/kg H2O
Prueba de fragilidad osmótica,Sangre,"Aumento de la fragilidad si hay hemólisis en cloruro de sodio > 0.5%

Disminución de la fragilidad si hay hemólisis incompleta en cloruro de sodio al 0.3%",—
Presión parcial de oxígeno (PO2),Sangre,Arterial: 80–100 mm Hg,10.7–13.3 kPa
Hormona paratiroidea (PTH),Suero,10-65 pg/mL,10-65 ng/L
Péptido relacionado con la hormona paratiroidea (PTHrP),Plasma,< 2.0 pmol/L,—
Tiempo parcial de tromboplastina activada (aPTT),Plasma,25-35 s,—
pH,Sangre,"pH arterial: 7.35–7.45

Venoso: 7.32–7.43","—

—"
Fósforo inorgánico,Suero,3.0-4.5 mg/dL,0.97-1.45 mmol/L
Recuento de plaquetas,Sangre,150–350 x 103/mcL,150-350 x 109/L
Tiempo de vida de las plaquetas. utilizando cromo-51 (51Cr),—,8-12 días,—
Porfirinas,Plasma,≤ 1.0 mcg/dL,≤ 10 mcg/L
Potasio,Suero,3.5–5 mEq/L,3.5-5 mmol/L
Prealbúmina (transtiretina),Suero,18–45 mg/dL,180–450 mg/L
Progesterona:,,,
Fase folicular,Suero,< 1 ng/mL,< 0.03 nmol/L
Fase lútea,Suero,3–30 ng/mL,0.1-0.95 nmol/L
Prolactina:,,,
Mujeres (no embarazadas),Suero,< 20 mcg/L,< 870 pmol/L
Varones,Suero,< 15 mcg/L,< 652 pmol/L
Antígeno prostático específico. total (PSA-T),Suero,0-4 ng/mL,0–4 mcg/L
Próstata-antígeno específico. relación libre/total (PSA-F: PSA-T),Suero,> 0.25,—
Actividad de la proteína C,Plasma,67–131%,—
Resistencia a proteína C activada (APC-R),Plasma,2.2–2.6,—
Actividad de proteína S,Plasma,82–144%,—
Proteína. total,Suero,6-7.8 g/dL,60-78 g/L
Tiempo de protrombina (PT),Plasma,11–13 s,—
Ácido pirúvico,Sangre,0.08-0.16 mmol/L,—
Recuento de eritrocitos,Sangre,4.2 a 5.9 x 106 células/mcL,4.2 a 5.9 x 1012 células/L
Tasa de supervivencia de eritrocitos. usando 51Cr,Sangre,T1/2 = 28 días,—
Actividad de la renina. plasma (PRA). en posición vertical. en varones y mujeres de 18 a 39 años:,,,
Depleción de sodio,Plasma,2.9-24 ng/mL/h,2.9–24 mcg/L/h
Repleción de sodio,Plasma,0.6 (o inferior) –4.3 ng/mL/h,0.6 (o inferior) –4.3 mcg/mL/h
Recuento de reticulocitos:,,,
Porcentaje,Sangre,0.5–1.5%,—
Absoluto,Sangre,23-90 x 103/mcL,23-90 x 109/L
Factor reumatoide (FR). por nefrelometría,Suero,< 20 IU/mL,< 20 kIU/L
Sodio,Suero,136-145 mEq/L,136-145 mmol/L
Testosterona (total). adultos:,,,
Mujeres,Suero,20–75 ng/dL,0.7-2.6 nmol/L
Varones,Suero,300–1200ng/dL,10-42 nmol/L
Tiempo de trombina,Plasma,18.5-24 s,—
Captación tiroidea de yodo-123 (123I),—,5-30% de la dosis administrada a las 24 h,—
Hormona tiroideoestimulante (TSH),Suero,0.5–5.0 mcUI/mL,0.5-5.0 mUI/L
Tiroxina (T4):,,,
Libre,Suero,0.9-2.4 ng/dL,12-31 pmol/L
Índice libre,—,4–11,—
Total,Suero,5-12 mcg/dL,64-155 nmol/L
Transferrina,Suero,200–360 mg/dL,2.0–3.6 g/L
Saturación de transferrina,Suero,20–50%,—
Triglicéridos (en ayunas),Suero,"Normales: < 150 mg/dL

Límites: 150–199 mg/dL

Altos: 200–499 mg/dL

Muy altos: ≥ 500 mg/dL","Normal: < 1.69 mmol/L

Límite: 1.69–2.25 mmol/L

Alto: 2.26–5.64 mmol/L

Muy alta: > 5.65 mmol/L"
Triyodotironina (T3):,,,
Captación,Suero,25–35%,—
Total,Suero,70-195 ng/dL,1.1 a 3.0 nmol/L
Troponina I (ensayo actual),Plasma,< 0.04 ng/mL,< 0.04 mcg/L
Troponina I. altamente sensible (hs-TnI),Suero,"Mujeres: ≤ 10 ng/L

Hombres: ≤ 15 ng/L","< 1.0 mcg/L

< 1.5 mcg/L"
Troponina T (ensayo actual),Suero,≤ 0.03 ng/mL,≤ 0.03 mcg/L
Troponina T. altamente sensible (hs-TnT),Suero,"Mujeres: ≤ 10 ng/L

Hombres: ≤ 15 ng/L","< 1.0 mcg/L

< 1.5 mcg/L"
Nitrógeno ureico,Suero,8-20 mg/dL,2.9 a 7.1 mmol/L
Ácido úrico,Suero,2.5-8 mg/dL,0.15-0.47 mmol/L
Vitamina B12,Suero,200–800 pg/mL,148-590 pmol/L
Vitamina C (ácido ascórbico):,,,
Leucocitos,Sangre,< 20 mg/dL,< 1.136 mcmol/L
Total,Sangre,0.4-1.5 mg/dL,23–85 mcmol/L
Vitamina D:,,,
1.25-dihidroxicolecalciferol (calcitriol),Suero,25–65 pg/mL,65-169 pmol/L
25-hidroxicolecalciferol,Suero,15–80 ng/mL,37-200 nmol/L
Recuento leucocitario,Sangre,4.5–11 x 103 células/mcL,4.5–11 x 109 células/L
Neutrófilos segmentados,,2.6–8.5 x 103 células/mcL,2.6–8.5 x 109 células/L
Neutrófilos en banda,,0-1.2 x 103 células/mcL,0-1.2 x 109 células/L
Linfocitos,,0.77–4.5 x 103 células/mcL,0.77–4.5 x 109 células/L
Monocitos,,0.14–1.3 x 103 células/mcL,0.14–1.3 x 109 células/L
Eosinófilos,,0-0.55 x 103 células/mcL,0–0.55 x 109 células/L
Basófilos,,0-0.22 x 103 células/mcL,0-0.22 x 109 células/L
Cinc,Suero,66-110 mcg/dL,10.1–16.8 mcmol/L